name,date,total
Watanabe Hall,8/17/2018 18:00,63
Watanabe Hall,8/17/2018 19:00,59
Watanabe Hall,8/17/2018 20:00,26
Watanabe Hall,8/17/2018 21:00,25
Watanabe Hall,8/17/2018 22:00,33
Watanabe Hall,8/17/2018 23:00,29
Watanabe Hall,8/18/2018 0:00,9
Watanabe Hall,8/18/2018 1:00,11
Watanabe Hall,8/18/2018 2:00,10
Watanabe Hall,8/18/2018 3:00,10
Watanabe Hall,8/18/2018 4:00,10
Watanabe Hall,8/18/2018 5:00,11
Watanabe Hall,8/18/2018 6:00,27
Watanabe Hall,8/18/2018 7:00,46
Watanabe Hall,8/18/2018 8:00,63
Watanabe Hall,8/18/2018 9:00,59
Watanabe Hall,8/18/2018 10:00,70
Watanabe Hall,8/18/2018 11:00,73
Watanabe Hall,8/18/2018 12:00,66
Watanabe Hall,8/18/2018 13:00,85
Watanabe Hall,8/18/2018 14:00,63
Watanabe Hall,8/18/2018 15:00,65
Watanabe Hall,8/18/2018 16:00,48
Watanabe Hall,8/18/2018 17:00,69
Watanabe Hall,8/18/2018 18:00,46
Watanabe Hall,8/18/2018 19:00,34
Watanabe Hall,8/18/2018 20:00,26
Watanabe Hall,8/18/2018 21:00,13
Watanabe Hall,8/18/2018 22:00,22
Watanabe Hall,8/18/2018 23:00,14
Watanabe Hall,8/19/2018 0:00,14
Watanabe Hall,8/19/2018 1:00,10
Watanabe Hall,8/19/2018 2:00,11
Watanabe Hall,8/19/2018 3:00,10
Watanabe Hall,8/19/2018 4:00,12
Watanabe Hall,8/19/2018 5:00,12
Watanabe Hall,8/19/2018 6:00,13
Watanabe Hall,8/19/2018 7:00,44
Watanabe Hall,8/19/2018 8:00,87
Watanabe Hall,8/19/2018 9:00,87
Watanabe Hall,8/19/2018 10:00,124
Watanabe Hall,8/19/2018 11:00,99
Watanabe Hall,8/19/2018 12:00,132
Watanabe Hall,8/19/2018 13:00,102
Watanabe Hall,8/19/2018 14:00,94
Watanabe Hall,8/19/2018 15:00,75
Watanabe Hall,8/19/2018 16:00,74
Watanabe Hall,8/19/2018 17:00,187
Watanabe Hall,8/19/2018 18:00,70
Watanabe Hall,8/19/2018 19:00,79
Watanabe Hall,8/19/2018 20:00,43
Watanabe Hall,8/19/2018 21:00,56
Watanabe Hall,8/19/2018 22:00,35
Watanabe Hall,8/19/2018 23:00,24
Watanabe Hall,8/20/2018 0:00,15
Watanabe Hall,8/20/2018 1:00,12
Watanabe Hall,8/20/2018 2:00,12
Watanabe Hall,8/20/2018 3:00,16
Watanabe Hall,8/20/2018 4:00,18
Watanabe Hall,8/20/2018 5:00,31
Watanabe Hall,8/20/2018 6:00,88
Watanabe Hall,8/20/2018 7:00,242
Watanabe Hall,8/20/2018 8:00,499
Watanabe Hall,8/20/2018 9:00,648
Watanabe Hall,8/20/2018 10:00,734
Watanabe Hall,8/20/2018 11:00,669
Watanabe Hall,8/20/2018 12:00,512
Watanabe Hall,8/20/2018 13:00,611
Watanabe Hall,8/20/2018 14:00,644
Watanabe Hall,8/20/2018 15:00,461
Watanabe Hall,8/20/2018 16:00,448
Watanabe Hall,8/20/2018 17:00,243
Watanabe Hall,8/20/2018 18:00,186
Watanabe Hall,8/20/2018 19:00,124
Watanabe Hall,8/20/2018 20:00,79
Watanabe Hall,8/20/2018 21:00,51
Watanabe Hall,8/20/2018 22:00,52
Watanabe Hall,8/20/2018 23:00,24
Watanabe Hall,8/21/2018 0:00,19
Watanabe Hall,8/21/2018 1:00,11
Watanabe Hall,8/21/2018 2:00,14
Watanabe Hall,8/21/2018 3:00,11
Watanabe Hall,8/21/2018 4:00,13
Watanabe Hall,8/21/2018 5:00,28
Watanabe Hall,8/21/2018 6:00,72
Watanabe Hall,8/21/2018 7:00,172
Watanabe Hall,8/21/2018 8:00,487
Watanabe Hall,8/21/2018 9:00,398
Watanabe Hall,8/21/2018 10:00,639
Watanabe Hall,8/21/2018 11:00,707
Watanabe Hall,8/21/2018 12:00,524
Watanabe Hall,8/21/2018 13:00,699
Watanabe Hall,8/21/2018 14:00,713
Watanabe Hall,8/21/2018 15:00,349
Watanabe Hall,8/21/2018 16:00,383
Watanabe Hall,8/21/2018 17:00,288
Watanabe Hall,8/21/2018 18:00,172
Watanabe Hall,8/21/2018 19:00,153
Watanabe Hall,8/21/2018 20:00,107
Watanabe Hall,8/21/2018 21:00,83
Watanabe Hall,8/21/2018 22:00,66
Watanabe Hall,8/21/2018 23:00,27
Watanabe Hall,8/22/2018 0:00,19
Watanabe Hall,8/22/2018 1:00,22
Watanabe Hall,8/22/2018 2:00,14
Watanabe Hall,8/22/2018 3:00,13
Watanabe Hall,8/22/2018 4:00,13
Watanabe Hall,8/22/2018 5:00,34
Watanabe Hall,8/22/2018 6:00,65
Watanabe Hall,8/22/2018 7:00,160
Watanabe Hall,8/22/2018 8:00,446
Watanabe Hall,8/22/2018 9:00,630
Watanabe Hall,8/22/2018 10:00,627
Watanabe Hall,8/22/2018 11:00,636
Watanabe Hall,8/22/2018 12:00,663
Watanabe Hall,8/22/2018 13:00,645
Keller Hall,8/16/2018 11:00,309
Keller Hall,8/16/2018 12:00,396
Keller Hall,8/16/2018 13:00,363
Keller Hall,8/16/2018 14:00,249
Keller Hall,8/16/2018 15:00,269
Keller Hall,8/16/2018 16:00,197
Keller Hall,8/16/2018 17:00,136
Keller Hall,8/16/2018 18:00,96
Keller Hall,8/16/2018 19:00,35
Keller Hall,8/16/2018 20:00,23
Keller Hall,8/16/2018 21:00,25
Keller Hall,8/16/2018 22:00,20
Keller Hall,8/16/2018 23:00,27
Keller Hall,8/17/2018 0:00,11
Keller Hall,8/17/2018 1:00,11
Keller Hall,8/17/2018 2:00,10
Keller Hall,8/17/2018 3:00,11
Keller Hall,8/17/2018 4:00,11
Keller Hall,8/17/2018 5:00,14
Keller Hall,8/17/2018 6:00,20
Keller Hall,8/17/2018 7:00,38
Keller Hall,8/17/2018 8:00,41
Keller Hall,8/17/2018 9:00,81
Keller Hall,8/17/2018 10:00,108
Keller Hall,8/17/2018 11:00,110
Keller Hall,8/17/2018 12:00,108
Keller Hall,8/17/2018 13:00,117
Keller Hall,8/17/2018 14:00,66
Keller Hall,8/17/2018 15:00,54
Keller Hall,8/17/2018 16:00,55
Keller Hall,8/17/2018 17:00,47
Keller Hall,8/17/2018 18:00,40
Keller Hall,8/17/2018 19:00,47
Keller Hall,8/17/2018 20:00,29
Keller Hall,8/17/2018 21:00,22
Keller Hall,8/17/2018 22:00,20
Keller Hall,8/17/2018 23:00,16
Keller Hall,8/18/2018 0:00,16
Keller Hall,8/18/2018 1:00,12
Keller Hall,8/18/2018 2:00,11
Keller Hall,8/18/2018 3:00,9
Keller Hall,8/18/2018 4:00,11
Keller Hall,8/18/2018 5:00,11
Keller Hall,8/18/2018 6:00,15
Keller Hall,8/18/2018 7:00,36
Keller Hall,8/18/2018 8:00,53
Keller Hall,8/18/2018 9:00,32
Keller Hall,8/18/2018 10:00,46
Keller Hall,8/18/2018 11:00,63
Keller Hall,8/18/2018 12:00,71
Keller Hall,8/18/2018 13:00,48
Keller Hall,8/18/2018 14:00,48
Keller Hall,8/18/2018 15:00,45
Keller Hall,8/18/2018 16:00,46
Keller Hall,8/18/2018 17:00,39
Keller Hall,8/18/2018 18:00,27
